"id","title","party","author","timestamp","term","count"
"1","Härtefallregelung der CO2-Verordnung. Die Zwischenlösung zum Emissionshandel ist nicht ausreichend","SVP","Thomas de Courten","2015-01-20T11:53:23.000Z","Personenfreizügigkeit","1"
"2","KVG. Wiederherstellung des Tariffriedens","BDP","Lorenz Hess","2015-03-30T14:06:49.000Z","KVG","1"
"3","KVG. Wiederherstellung des Tariffriedens","SVP","Verena Herzog","2015-03-30T14:07:24.000Z","KVG","1"
"4","Reform der Prämienverbilligung","GPS","Yvonne Gilli","2015-03-30T14:09:34.000Z","KVG","1"
"5","Asyl. Kein Anspruch auf Aufenthalt in der Schweiz","SVP","Luzi Stamm","2015-03-30T14:10:17.000Z","Asyl","1"
"6","Pflegende Angehörige sollen in jedem Fall von anerkannter Hilflosigkeit ein Anrecht auf Betreuungsgutschriften haben","CVP","Christine Bulliard-Marbach","2015-03-30T14:10:46.000Z","AHV","1"
"7","Pflegende Angehörige sollen in jedem Fall von anerkannter Hilflosigkeit ein Anrecht auf Betreuungsgutschriften haben","CVP","Christine Bulliard-Marbach","2015-03-30T14:10:46.000Z","IV","1"
"8","Transparenz über die Mandate von Lobbyisten im Bundeshaus","FDP-Liberale","Andrea Caroni","2015-06-04T17:06:16.000Z","IV","1"
"9","Fördert das Bundesamt für Sozialversicherungen den Einkauf im Ausland?","SVP","Markus Hausammann","2015-06-04T15:01:18.000Z","AHV","1"
"10","Fördert das Bundesamt für Sozialversicherungen den Einkauf im Ausland?","SVP","Markus Hausammann","2015-06-04T15:01:18.000Z","IV","1"
"11","Diebstahl und Verlust von Kunden- oder Mitarbeiterdaten wie AHV-Nummern oder Bankdaten. Ist das Gesetz hinreichend?","SP","Jean Christophe Schwaab","2015-03-27T09:32:32.000Z","AHV","1"
"12","Anpassung der Steuersätze für Casinos","SVP","Pierre Rusconi","2015-03-27T09:40:30.000Z","AHV","1"
"13","Anpassung der Steuersätze für Casinos","SVP","Pierre Rusconi","2015-03-27T09:40:30.000Z","IV","1"
"14","Social Impact Investing. Folgerungen für die Schweiz aufgrund des OECD-Reports","SP","Eric Nussbaumer","2015-03-27T09:42:32.000Z","IV","1"
"15","Normalarbeitsvertrag Hauswirtschaft. Weniger Schranken für die Vereinbarkeit von Familie und Beruf","FDP-Liberale","Andrea Caroni","2015-03-27T09:44:56.000Z","Personenfreizügigkeit","1"
"16","Reduktion des Mehrwertsteuersatzes für das Gastgewerbe und die Hotellerie","SVP","Heinz Brand","2015-03-27T09:45:56.000Z","AHV","1"
"17","Reduktion des Mehrwertsteuersatzes für das Gastgewerbe und die Hotellerie","SVP","Heinz Brand","2015-03-27T09:45:56.000Z","IV","1"
"18","Selbstständigerwerbende aus Italien. Namen an die italienische Agenzia delle entrate weiterleiten","Lega","Lorenzo Quadri","2015-03-27T09:48:29.000Z","Personenfreizügigkeit","1"
"19","Negativzins trifft Pensionskassen hart. Warum ist die Publica nicht betroffen?","FDP-Liberale","Daniel Stolz","2015-03-27T09:49:41.000Z","AHV","1"
"20","Negativzins trifft Pensionskassen hart. Warum ist die Publica nicht betroffen?","FDP-Liberale","Daniel Stolz","2015-03-27T09:49:41.000Z","IV","1"
"21","Negativzins trifft Pensionskassen hart. Warum ist die Publica nicht betroffen?","FDP-Liberale","Daniel Stolz","2015-03-27T09:49:41.000Z","EO","1"
"22","Negativzins trifft Pensionskassen hart. Warum ist die Publica nicht betroffen?","FDP-Liberale","Daniel Stolz","2015-03-27T09:49:41.000Z","AHV/IV/EO","1"
"23","Swissleaks. Beweisverwertung im Strafverfahren und im Amtshilfeverfahren","SP","Susanne Leutenegger Oberholzer","2015-03-27T09:50:31.000Z","IV","1"
"24","Wirkung und Folgen der Negativzinsen der Schweizerischen Nationalbank","FDP-Liberale","Felix Gutzwiller","2015-03-27T09:53:00.000Z","IV","1"
